XxY,slice_ID,raw_x,raw_y,n_genes,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,pct_counts_in_top_50_genes,pct_counts_in_top_100_genes,pct_counts_in_top_200_genes,pct_counts_in_top_500_genes,total_counts_mt,pct_counts_mt,batch,clusters,clusters_0.7,new_x,new_y,new_z,dotShape,clusters_0.6,clusters_0.5,clusters_0.4,clusters_0.3
14820x106860-0,E16-18_S01_a,14820,106860,400,400,5.993961427306569,1785.0,7.487734,43.19327731092437,61.73669467787115,83.30532212885154,100.0,0.0,0.0,0,15,15,-365.0615114235479,21.335676625662018,0.0,circle,14,2,4,5
14820x106880-0,E16-18_S01_a,14820,106880,392,392,5.973809611869261,1706.0,7.4424925,41.7936694021102,62.07502930832356,84.23212192262602,100.0,0.0,0.0,0,14,2,-365.0615114235479,41.33567662566202,0.0,circle,3,2,4,5
14820x106900-0,E16-18_S01_a,14820,106900,424,424,6.052089168924417,1929.0,7.565275,41.93882840850181,61.48263348885433,82.0632452047693,100.0,0.0,0.0,0,14,2,-365.0615114235479,61.33567662566202,0.0,circle,3,2,4,5
14820x106920-0,E16-18_S01_a,14820,106920,292,292,5.680172609017068,1315.0,7.182352,50.11406844106464,69.96197718631178,92.01520912547528,100.0,0.0,0.0,0,14,2,-365.0615114235479,81.33567662566202,0.0,circle,3,2,4,5
14820x106940-0,E16-18_S01_a,14820,106940,416,416,6.0330862217988015,1907.0,7.553811,43.10435238594651,60.88096486628211,82.01363398007341,100.0,0.0,0.0,0,14,2,-365.0615114235479,101.33567662566202,0.0,circle,3,2,4,5
14840x106820-0,E16-18_S01_a,14840,106820,465,465,6.144185634125646,2307.0,7.744137,40.91894234937148,58.517555266579976,78.71694841785869,100.0,0.0,0.0,0,15,15,-345.0615114235479,-18.664323374337982,0.0,circle,14,0,2,3
14840x106840-0,E16-18_S01_a,14840,106840,452,452,6.115892125483034,1979.0,7.5908523,41.78878221323901,59.87872662961091,80.24254674077818,100.0,0.0,0.0,0,14,2,-345.0615114235479,1.3356766256620176,0.0,circle,3,2,4,5
14840x106860-0,E16-18_S01_a,14840,106860,438,438,6.0844994130751715,1959.0,7.5807,39.71413986727922,58.03981623277183,79.63246554364471,100.0,0.0,0.0,0,15,15,-345.0615114235479,21.335676625662018,0.0,circle,14,2,4,5
14840x106880-0,E16-18_S01_a,14840,106880,456,456,6.124683390894205,2006.0,7.6043963,38.6839481555334,57.32801595214357,78.71385842472583,100.0,0.0,0.0,0,14,2,-345.0615114235479,41.33567662566202,0.0,circle,3,2,4,5
14840x106900-0,E16-18_S01_a,14840,106900,407,407,6.0112671744041615,1955.0,7.5786567,43.42710997442455,63.12020460358057,83.58056265984655,100.0,0.0,0.0,0,14,2,-345.0615114235479,61.33567662566202,0.0,circle,3,2,4,5
14840x106920-0,E16-18_S01_a,14840,106920,412,412,6.023447592961033,1887.0,7.5432734,41.91838897721251,61.73820879703232,82.5649178590355,100.0,0.0,0.0,0,14,2,-345.0615114235479,81.33567662566202,0.0,circle,3,2,4,5
14840x106940-0,E16-18_S01_a,14840,106940,452,452,6.115892125483034,2099.0,7.6496925,40.1143401619819,58.21819914244879,79.41877084325868,100.0,0.0,0.0,0,14,2,-345.0615114235479,101.33567662566202,0.0,circle,3,2,4,5
14840x106960-0,E16-18_S01_a,14840,106960,428,428,6.061456918928017,1892.0,7.545918,41.120507399577164,59.61945031712473,80.0739957716702,100.0,0.0,0.0,0,14,2,-345.0615114235479,121.33567662566202,0.0,circle,3,2,4,5
14840x106980-0,E16-18_S01_a,14840,106980,398,398,5.988961416889864,1629.0,7.396335,39.41068139963168,59.17740945365255,81.76795580110497,100.0,0.0,0.0,0,14,2,-345.0615114235479,141.33567662566202,0.0,circle,3,2,4,5
14860x106780-0,E16-18_S01_a,14860,106780,422,422,6.0473721790462776,2117.0,7.6582274,41.56825696740671,62.06896551724138,83.27822390174777,100.0,0.0,0.0,0,15,15,-325.0615114235479,-58.66432337433798,0.0,circle,14,0,2,3
14860x106800-0,E16-18_S01_a,14860,106800,434,434,6.075346031088684,2120.0,7.659643,43.301886792452834,61.41509433962264,82.31132075471697,100.0,0.0,0.0,0,15,15,-325.0615114235479,-38.66432337433798,0.0,circle,14,0,2,3
14860x106820-0,E16-18_S01_a,14860,106820,477,477,6.169610732491456,2521.0,7.8328075,41.96747322491075,61.04720349067831,80.0476001586672,100.0,0.0,0.0,0,15,15,-325.0615114235479,-18.664323374337982,0.0,circle,14,0,2,3
14860x106840-0,E16-18_S01_a,14860,106840,474,474,6.163314804034641,2449.0,7.8038435,42.83380971825235,60.47366271947734,80.35933033891384,100.0,0.0,0.0,0,15,15,-325.0615114235479,1.3356766256620176,0.0,circle,14,2,4,5
14860x106860-0,E16-18_S01_a,14860,106860,418,418,6.037870919922137,2041.0,7.621685,42.528172464478196,60.95051445369917,82.36158745712886,100.0,0.0,0.0,0,15,15,-325.0615114235479,21.335676625662018,0.0,circle,14,2,4,5
14860x106880-0,E16-18_S01_a,14860,106880,372,372,5.921578419643816,1976.0,7.589336,48.582995951417004,66.24493927125506,86.89271255060729,100.0,0.0,0.0,0,15,15,-325.0615114235479,41.33567662566202,0.0,circle,14,2,4,5
14860x106900-0,E16-18_S01_a,14860,106900,441,441,6.091309882077698,2032.0,7.6172676,42.71653543307087,60.43307086614173,81.05314960629921,100.0,0.0,0.0,0,15,15,-325.0615114235479,61.33567662566202,0.0,circle,14,2,4,5
14860x106920-0,E16-18_S01_a,14860,106920,458,458,6.129050210060545,2139.0,7.668561,39.130434782608695,58.67227676484339,79.56989247311827,100.0,0.0,0.0,0,14,15,-325.0615114235479,81.33567662566202,0.0,circle,3,2,4,5
14860x106940-0,E16-18_S01_a,14860,106940,421,421,6.045005314036012,2006.0,7.6043963,45.11465603190429,62.91126620139581,82.45264207377866,100.0,0.0,0.0,0,14,2,-325.0615114235479,101.33567662566202,0.0,circle,3,2,4,5
14860x106960-0,E16-18_S01_a,14860,106960,442,442,6.093569770045136,2045.0,7.623642,40.09779951100245,58.43520782396088,80.09779951100245,100.0,0.0,0.0,0,14,2,-325.0615114235479,121.33567662566202,0.0,circle,3,2,4,5
14860x106980-0,E16-18_S01_a,14860,106980,421,421,6.045005314036012,1767.0,7.4776044,41.08658743633276,58.00792303338993,79.79626485568761,100.0,0.0,0.0,0,14,2,-325.0615114235479,141.33567662566202,0.0,circle,3,2,4,5
14880x106780-0,E16-18_S01_a,14880,106780,453,453,6.118097198041348,2385.0,7.777374,44.27672955974843,61.84486373165618,81.9706498951782,100.0,0.0,0.0,0,15,15,-305.0615114235479,-58.66432337433798,0.0,circle,14,0,2,3
14880x106800-0,E16-18_S01_a,14880,106800,414,414,6.028278520230698,2078.0,7.6396422,45.52454282964389,63.76323387872955,83.2531280076997,100.0,0.0,0.0,0,15,15,-305.0615114235479,-38.66432337433798,0.0,circle,14,0,2,3
14880x106820-0,E16-18_S01_a,14880,106820,478,478,6.171700597410915,2325.0,7.7519054,39.87096774193548,57.24731182795699,77.29032258064517,100.0,0.0,0.0,0,15,15,-305.0615114235479,-18.664323374337982,0.0,circle,14,0,2,3
14880x106840-0,E16-18_S01_a,14880,106840,423,423,6.049733455231958,2118.0,7.6586995,45.46742209631728,63.97544853635505,83.2389046270066,100.0,0.0,0.0,0,15,15,-305.0615114235479,1.3356766256620176,0.0,circle,14,2,4,5
14880x106860-0,E16-18_S01_a,14880,106860,413,413,6.025865973825314,2297.0,7.7397943,44.57988680888115,63.56116673922507,84.58859381802351,100.0,0.0,0.0,0,15,15,-305.0615114235479,21.335676625662018,0.0,circle,14,2,4,5
14880x106880-0,E16-18_S01_a,14880,106880,353,353,5.869296913133774,1893.0,7.5464463,51.13576333861596,70.36450079239303,89.91019545694665,100.0,0.0,0.0,0,15,15,-305.0615114235479,41.33567662566202,0.0,circle,14,2,4,5
14880x106900-0,E16-18_S01_a,14880,106900,394,394,5.978885764901122,2098.0,7.649216,46.61582459485224,66.58722592945662,86.74928503336511,100.0,0.0,0.0,0,15,15,-305.0615114235479,61.33567662566202,0.0,circle,14,2,4,5
14880x106920-0,E16-18_S01_a,14880,106920,432,432,6.07073772800249,1902.0,7.551187,39.58990536277602,59.67402733964248,81.12513144058885,100.0,0.0,0.0,0,14,2,-305.0615114235479,81.33567662566202,0.0,circle,3,2,4,5
